open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2026-02-28 13:00:00,64017.18000000,65216.97000000,63888.89000000,65106.44000000,1748.13055000,2026-02-28 13:59:59,112602961.65471460,239934,1029.37855000,66289860.64451050,0
2026-02-28 14:00:00,65106.45000000,65360.51000000,64278.50000000,64435.61000000,1331.97244000,2026-02-28 14:59:59,86384184.19595130,331907,673.00491000,43665522.51414530,0
2026-02-28 15:00:00,64435.62000000,65020.75000000,64200.00000000,64841.18000000,731.53889000,2026-02-28 15:59:59,47296650.10364840,205062,397.03404000,25679345.34624730,0
2026-02-28 16:00:00,64841.17000000,65206.25000000,64681.81000000,65094.30000000,500.23365000,2026-02-28 16:59:59,32507176.32798840,199610,293.70961000,19091198.42573410,0
2026-02-28 17:00:00,65094.29000000,65555.00000000,64828.03000000,65442.62000000,595.58409000,2026-02-28 17:59:59,38777841.01382760,175603,280.29737000,18263588.72787740,0
2026-02-28 18:00:00,65442.61000000,66157.61000000,65185.70000000,65911.84000000,830.58148000,2026-02-28 18:59:59,54542262.56475800,278973,472.47092000,31037923.37366130,0
2026-02-28 19:00:00,65911.83000000,66666.65000000,65602.65000000,66362.01000000,1072.73124000,2026-02-28 19:59:59,71025218.84317860,322392,656.72635000,43494282.08144300,0
2026-02-28 20:00:00,66362.01000000,67151.68000000,66190.61000000,66959.62000000,840.13263000,2026-02-28 20:59:59,56107117.24123690,329810,476.84339000,31844199.42392580,0
2026-02-28 21:00:00,66959.63000000,67055.56000000,66368.42000000,66723.22000000,934.75984000,2026-02-28 21:59:59,62309093.57047640,248442,433.85291000,28933925.13232960,0
2026-02-28 22:00:00,66723.23000000,67760.00000000,66608.82000000,67103.64000000,1310.09118000,2026-02-28 22:59:59,87950234.20357770,395017,675.31952000,45344629.22278130,0
